x,T,rho,p
0,0.003458,1.00725,1
0.010101,0.003458,1.00725,1
0.020202,0.003458,1.00725,1
0.030303,0.003458,1.00725,1
0.040404,0.003458,1.00725,1
0.0505051,0.003458,1.00725,1
0.0606061,0.003458,1.00725,1
0.0707071,0.003458,1.00725,1
0.0808081,0.003458,1.00725,1
0.0909091,0.003458,1.00725,1
0.10101,0.003458,1.00725,1
0.111111,0.003458,1.00725,1
0.121212,0.003458,1.00725,1
0.131313,0.003458,1.00725,1
0.141414,0.003458,1.00725,1
0.151515,0.003458,1.00725,1
0.161616,0.003458,1.00725,1
0.171717,0.003458,1.00725,1
0.181818,0.003458,1.00725,1
0.191919,0.003458,1.00725,1
0.20202,0.003458,1.00725,1
0.212121,0.003458,1.00725,1
0.222222,0.003458,1.00725,1
0.232323,0.003458,1.00725,1
0.242424,0.003458,1.00725,0.999999
0.252525,0.00345565,1.00555,0.997627
0.262626,0.00343806,0.992797,0.979963
0.272727,0.00340411,0.968466,0.946509
0.282828,0.0033624,0.93906,0.906523
0.292929,0.00331764,0.90811,0.864977
0.30303,0.00327168,0.87697,0.823743
0.313131,0.00322525,0.846178,0.783541
0.323232,0.00317869,0.815963,0.744657
0.333333,0.00313219,0.786436,0.707211
0.343434,0.00308583,0.75765,0.67124
0.353535,0.00303968,0.729629,0.636747
0.363636,0.00299376,0.702382,0.60371
0.373737,0.00294812,0.675909,0.572098
0.383838,0.00290276,0.650205,0.541874
0.393939,0.0028577,0.62526,0.512996
0.40404,0.00281295,0.601062,0.485421
0.414141,0.00276851,0.577602,0.459106
0.424242,0.0027244,0.554864,0.434005
0.434343,0.00268062,0.532835,0.410075
0.444444,0.00263717,0.511502,0.387278
0.454545,0.00259407,0.490855,0.36557
0.464646,0.00255132,0.470882,0.344916
0.474747,0.00250896,0.451574,0.325282
0.484848,0.00246724,0.433033,0.306739
0.494949,0.00245674,0.42843,0.302187
0.505051,0.0024576,0.428788,0.302544
0.515152,0.00245784,0.428878,0.302638
0.525253,0.00245796,0.428909,0.302674
0.535354,0.00245804,0.428924,0.302695
0.545455,0.0024581,0.428928,0.302705
0.555556,0.00245815,0.428924,0.302708
0.565657,0.0024582,0.428916,0.302709
0.575758,0.00245826,0.428906,0.302709
0.585859,0.00245833,0.428895,0.30271
0.59596,0.00245841,0.428879,0.30271
0.606061,0.00245852,0.428861,0.30271
0.616162,0.00245865,0.428838,0.30271
0.626263,0.00245884,0.428807,0.30271
0.636364,0.00245908,0.428765,0.30271
0.646465,0.00245945,0.428699,0.30271
0.656566,0.00246013,0.428579,0.302709
0.666667,0.00246573,0.427608,0.30271
0.676768,0.00257473,0.409537,0.302718
0.686869,0.00323821,0.325789,0.302781
0.69697,0.00394287,0.267415,0.302714
0.707071,0.00396657,0.265814,0.302712
0.717172,0.00396492,0.265925,0.302712
0.727273,0.00396474,0.265937,0.302712
0.737374,0.00396473,0.265938,0.302712
0.747475,0.00396475,0.265937,0.302712
0.757576,0.00396476,0.265936,0.302713
0.767677,0.00396478,0.265935,0.302713
0.777778,0.00396478,0.265936,0.302713
0.787879,0.00396477,0.265936,0.302713
0.79798,0.00396477,0.265936,0.302714
0.808081,0.00396477,0.265936,0.302714
0.818182,0.00396478,0.265937,0.302714
0.828283,0.00396478,0.265937,0.302714
0.838384,0.00396462,0.26591,0.302672
0.848485,0.00383309,0.245477,0.270321
0.858586,0.00278,0.125291,0.1
0.868687,0.00278,0.125291,0.1
0.878788,0.00278,0.125291,0.1
0.888889,0.00278,0.125291,0.1
0.89899,0.00278,0.125291,0.1
0.909091,0.00278,0.125291,0.1
0.919192,0.00278,0.125291,0.1
0.929293,0.00278,0.125291,0.1
0.939394,0.00278,0.125291,0.1
0.949495,0.00278,0.125291,0.1
0.959596,0.00278,0.125291,0.1
0.969697,0.00278,0.125291,0.1
0.979798,0.00278,0.125291,0.1
0.989899,0.00278,0.125291,0.1
1,0.00278,0.125291,0.1
