x,T,rho,p
0.01,0.003458,1.00725,1
0.02,0.003458,1.00725,1
0.03,0.003458,1.00725,1
0.04,0.003458,1.00725,1
0.05,0.003458,1.00725,1
0.06,0.003458,1.00725,1
0.07,0.003458,1.00725,1
0.08,0.003458,1.00725,1
0.09,0.003458,1.00725,1
0.1,0.003458,1.00725,1
0.11,0.003458,1.00725,1
0.12,0.003458,1.00725,1
0.13,0.003458,1.00725,1
0.14,0.003458,1.00725,1
0.15,0.003458,1.00725,1
0.16,0.003458,1.00725,1
0.17,0.003458,1.00725,1
0.18,0.003458,1.00725,1
0.19,0.003458,1.00725,1
0.2,0.003458,1.00725,1
0.21,0.003458,1.00725,1
0.22,0.003458,1.00725,1
0.23,0.003458,1.00725,1
0.24,0.003458,1.00725,1
0.25,0.003458,1.00725,1
0.26,0.003458,1.00725,1
0.27,0.003458,1.00725,1
0.28,0.003458,1.00725,1
0.29,0.003458,1.00725,1
0.3,0.003458,1.00725,1
0.31,0.003458,1.00725,1
0.32,0.003458,1.00725,0.999999
0.33,0.00345794,1.00721,0.999937
0.34,0.00345704,1.00655,0.999027
0.35,0.00345214,1.00298,0.994073
0.36,0.00343811,0.992786,0.979989
0.37,0.00341148,0.973563,0.953606
0.38,0.00337205,0.945461,0.915427
0.39,0.00332154,0.910115,0.86806
0.4,0.00326213,0.869523,0.81456
0.41,0.00319585,0.825516,0.757664
0.42,0.00312436,0.779585,0.69954
0.43,0.00304898,0.732869,0.641788
0.44,0.00297069,0.6862,0.585518
0.45,0.0028902,0.640175,0.531472
0.46,0.00280796,0.595213,0.480108
0.47,0.00272446,0.551721,0.431812
0.48,0.00264071,0.510142,0.38701
0.49,0.0025615,0.471653,0.347055
0.5,0.0024876,0.4412,0.315232
0.51,0.0024473,0.424432,0.298221
0.52,0.00245406,0.424075,0.298801
0.53,0.00246877,0.427154,0.30276
0.54,0.00248137,0.424404,0.302344
0.55,0.00250767,0.419768,0.3022
0.56,0.0025606,0.411196,0.302235
0.57,0.00266008,0.396155,0.302374
0.58,0.00282913,0.373098,0.30264
0.59,0.00307862,0.343523,0.302969
0.6,0.00338316,0.312711,0.30306
0.61,0.00367266,0.287527,0.302791
0.62,0.00387329,0.272387,0.302805
0.63,0.00396271,0.265566,0.302124
0.64,0.00397748,0.261581,0.298712
0.65,0.00395536,0.256573,0.291379
0.66,0.00388944,0.247684,0.27666
0.67,0.00374152,0.229445,0.246827
0.68,0.00344591,0.194281,0.193484
0.69,0.00305506,0.152161,0.13455
0.7,0.00282056,0.129131,0.104609
0.71,0.00278083,0.125376,0.100098
0.72,0.00278,0.125291,0.1
0.73,0.00278,0.125291,0.1
0.74,0.00278,0.125291,0.1
0.75,0.00278,0.125291,0.1
0.76,0.00278,0.125291,0.1
0.77,0.00278,0.125291,0.1
0.78,0.00278,0.125291,0.1
0.79,0.00278,0.125291,0.1
0.8,0.00278,0.125291,0.1
0.81,0.00278,0.125291,0.1
0.82,0.00278,0.125291,0.1
0.83,0.00278,0.125291,0.1
0.84,0.00278,0.125291,0.1
0.85,0.00278,0.125291,0.1
0.86,0.00278,0.125291,0.1
0.87,0.00278,0.125291,0.1
0.88,0.00278,0.125291,0.1
0.89,0.00278,0.125291,0.1
0.9,0.00278,0.125291,0.1
0.91,0.00278,0.125291,0.1
0.92,0.00278,0.125291,0.1
0.93,0.00278,0.125291,0.1
0.94,0.00278,0.125291,0.1
0.95,0.00278,0.125291,0.1
0.96,0.00278,0.125291,0.1
0.97,0.00278,0.125291,0.1
0.98,0.00278,0.125291,0.1
0.99,0.00278,0.125291,0.1
